id,code,name
op_university_126,UPBSM,Universidad Pontificia Bolivariana Seccional de Monteria
op_university_127,UPB,Universidad Pontificia Bolivariana
op_university_128,UPAP,Universidad Politécnica y Artísitica de Paraguay
op_university_129,UPAEP,Universidad Popular Autónoma del Estado de Puebla
op_university_130,INACAP,INACAP Instituto Nacional de Capacitación Profesional
op_university_131,INAM,Instituto América
op_university_132,INR,Instituto Nacional de Rehabilitación
op_university_133,IPA,Instituto de Profesores Artigas
op_university_134,IPN,Instituto Politécnico Nacional
op_university_135,ISA,Instituto Superior de Arte
op_university_136,ISCMH,Instituto Superior de Ciencias Médicas de la Habana
op_university_137,ISED,ISED
op_university_138,ISEP,ISEP
op_university_139,ISF,Instituto Superior de Estudios para la Familia
op_university_140,UNSA,Universidad Nacional de San Agustin de Arequipa
op_university_141,UNR,Universidad Nacional Rusa
op_university_142,UNQ,Universidad Nacional de Quilnes
op_university_143,UNPHU,Universidad Nacional Pedro Henríquez Ureña
op_university_144,UNP,Universidad Nacional de la Plata
op_university_145,UNMSM,Universidad Nacional Mayor de San Marcos
op_university_146,UNL,Universidad Nacional de Loja
op_university_147,UNIVAL,Universidad Internacional de la Integración de América Latina
op_university_148,UNISUL,Universidade do Sul de Santa Catarina
op_university_149,UNIR,UNIR
op_university_150,itesm,Instituto Tecnológico de Monterrey
op_university_151,ITESO,Instituto Tecnológico y de Estudios Superiores de Occidente
op_university_152,ITSD,Instituto Tecnológico de Santo Domingo
op_university_153,ITSON,Instituto Tecnológico de Sonora
op_university_154,IUEP,Instituto Universitario Eloisa Patrón de Rosado
op_university_155,IUPGC,Institución Universitaria Politécnico Grancolombiano
op_university_156,IUT,Instituto Universitario de tecnologia Rodolfo Loero Arismendi
op_university_157,IVAL,Instituto Venezolano de la Audición y el Lenguaje
op_university_158,La Salle,Instituto Superior Público La Salle de urubamba
op_university_159,Unibagué,Universidad de Ibagué
op_university_160,UniAmérica,UniAmérica-Centro Universitário em Foz do Iguaçu
op_university_161,UNHV,Universidad Nacional Hermilio Valdizan
op_university_162,UNHA,Universidad Agraria de La Habana
op_university_163,UNFV,Universidad Nacional Federico Villarreal
op_university_164,UNEV,Universidad Nacional Evangélica
op_university_165,UNESR,Universidad Nacional Experimental Simón Rodríguez
op_university_166,UNEFA,UNEFA. Universidad Nacional Experimental Politécnica de la Fuerza Armada Nacional
op_university_167,UNED,UNED
op_university_168,LUJED,La Universidad Juárez del Estado de Durango
op_university_169,LVP,Universidad de Liverpool
op_university_170,LWD,Lindenwood University
op_university_171,MD,Corporación Universitaria Minuto de Dios
op_university_172,MELE,Magisterio en Lengua Extranjera
op_university_173,MER,Colegio Universitario de Administración y Mercadeo
op_university_174,MERCY,Mercyhurst University
op_university_175,MIP,Moskovskiy Institut de Psicoanálisis
op_university_176,MLE,Magisterio en Lengua Extranjera
op_university_177,MML,"Conservatorio Superior de Música ""Manuel Massoti Littel"""
op_university_178,UNAM,Universidad Nacional Autónoma de México
op_university_179,UNAH,Universidad Nacional Autónoma de Honduras
op_university_180,UNAD,Universidad Nacional Abierta y a Distancia
op_university_181,UNACHI,Universidad Autónoma de Chiriquí
op_university_182,Unach,Universidad Nacional de Chimborazo
op_university_183,UNAC,Corporación Universitaria Adventista
op_university_184,UNAB,Universidad Nacional Andrés Bello
op_university_185,UN,Universidad del Noroeste
op_university_186,UMZ,Universidad de Mendoza
op_university_187,UMW,Universidad de Minnesota
op_university_188,PUCP,Pontificia Universidad Católica del Perú
op_university_189,PUJ,Pontificia Universidad Javeriana
op_university_190,QCU,Queens College University
op_university_191,R.F.E.T.,Real Federación Española de TeniS
op_university_192,RCS,Real Conservatorio Superior de Música de Madrid
op_university_193,RESAD,Escuela Superior de Arte Dramático
op_university_194,RUDN,Universidad Rusa de la Amistad de los Pueblos
op_university_195,RWU,Roger Williams University
op_university_196,SDC,Universidad Santiago de Cali
op_university_197,SEGE,Sistema Educativo Estatal Regular Escuela Normal Particular Autorizada Minerva AC
op_university_198,UMondrag,de Mondragón
op_university_199,UMMR,Universidad Marista de Mérida
op_university_200,UMM,Universidad de Montemorelos
op_university_201,UMinho,Universidade do Minho
op_university_202,UMH,Miguel Hernández
op_university_203,UMGZ,Universidad Mariano Galvéz
op_university_204,UMG,Universidad Marista de Guadalajara
op_university_205,UMexico,de Mexico
op_university_206,UMEX,Universidad Mexicana de Educación a Distancia
op_university_207,UMetro,Universidad Metropolitana
op_university_208,UABER,University of Aberdeen
op_university_209,UABuc,Universidad Autónoma de Bucaramanga
op_university_210,UAC,Universidad Autónoma de Chihuahua
op_university_211,UACam,Universidad Autónoma de Campeche
op_university_212,UACoa,Universidad Autónoma de Coahuila
op_university_213,UACON,Universidad del Aconcagua
op_university_214,UACUH,Universidad de Cuauhtemoc
op_university_215,UAD,Universidad Autónoma de Durango
op_university_216,UAdeO,Universidad Autónoma de Occidente
op_university_217,UADP,Universidad Adventista del Plata
op_university_218,umaslp,Universidad Marista de San Luis Potosí
op_university_219,UMAR,Universidad del Mar
op_university_220,UMalaga,de Málaga
op_university_221,UMag,Universidad del Magdalena
op_university_222,UMadrid,de Madrid
op_university_223,UMAD,Universidad Madrid
op_university_224,UMA,Universidad de Magdalena
op_university_225,UM,Universidad de Manizales
op_university_226,ULV,University of Louisville
op_university_227,ULT,Universidad Latinoamericana
op_university_228,UAlicante,de Alicante
op_university_229,UAlmeria,de Almería
op_university_230,UAM,Autónoma de Madrid
op_university_231,UAME,Universidad Americana
op_university_232,UAmer,Universidad de las Américas
op_university_233,UAmericas,Universidad de las Américas
op_university_234,UAMich,Universidad Arturo Michelena
op_university_235,UAMT,Universidad Autónoma Metropolitana
op_university_236,UAN,Universidad Antonio Nariño
op_university_237,ULCR,Universidad Latina de Costa Rica
op_university_238,ULC,Universidad La Concordia
op_university_239,ULat,Universidad Latina de Panamá
op_university_240,ULaguna,de La Laguna
op_university_241,ULagos,Universidad de los Lagos
op_university_242,ULACEX,Universidad Latinoamericana de Comercio Exterior
op_university_243,UL,Universidad de Lima
op_university_244,UJW,Universidad Johnson & Wales
op_university_245,UJS,Universidad Justo Sierra
op_university_246,UJMV,Universidad José María Vargas
op_university_247,UAS,Universidad Autónoma de Sinaloa
op_university_248,UASD,Universidad Autónoma de Santo Domingo
op_university_249,UASLP,Universidad Autónoma de San Luis Potosí
op_university_250,UATM,Universidad Autónoma de Tamaulipas
op_university_251,UAV,Universidad de Aveiro
op_university_252,UAY,Universidad Autónoma de Yucatán
op_university_253,UAZ,Universidad Autónoma de Zacatecas
op_university_254,UAZT,Universidad Azteca
op_university_255,UAzuay,Universidad del Azuay
op_university_256,UB,de Barcelona
op_university_257,UIMP,Internacional Menéndez Pelayo
op_university_258,UIG,Universidad del Istmo
op_university_259,UIE,Universidad Internacional del Ecuador
op_university_260,UICV,Universidad Inca Garcilaso de la Vega
op_university_261,UICR,Universidad Interamericana de Costa Rica
op_university_262,UICB,Université Internationale de Casablanca
op_university_263,UIC,Internacional de Catalunya
op_university_264,UIber,Universidad de Iberoamérica
op_university_265,UIBA,Universitat de les Illes Balears
op_university_266,UBrasil,de Brasil
op_university_267,UBT,Universidad Butler
op_university_268,UBurgos,de Burgos
op_university_269,UBV,Universidad Bolivariana
op_university_270,UBY,Universidad de Boyacá
op_university_271,UC,Universidad de Cienfuegos
op_university_272,UCA,Católica de Ávila
op_university_273,UCadiz,de Cádiz
op_university_274,UCaldas,Universidad de Caldas
op_university_275,UCAM,Universidad Centroamericana de Nicaragua
op_university_276,UH,Universidad de Houston
op_university_277,UGV,Universidad Garcilaso de la Vega
op_university_278,UGranada,de Granada
